"callstartdatetime","userref","action_conversion","product_conversion","value_conversion"
"2019-09-30T16:04:20","ga1214947721291569690679","1","Diplomado en Emprendimiento y Gestión Gastronómica","300.00"
"2019-09-30T14:54:14","ga1217955455051569782194","1","Diplomado en Repostería","158.79"
"2019-09-30T14:59:12","ga126742233101569698718","1","Diplomado en Repostería","86.25"
"2019-09-30T16:45:06","ga127686574791568737746","1","Diplomado en Nutrición","60.29"
"2019-09-30T16:50:06","ga1210554560461569859580","1","Diplomado en Nutrición","288.85"
"2019-09-30T17:28:05","ga126835457431569156551","1","Diplomado en Organización de Eventos","229.50"
"2019-09-30T17:37:05","ga123730644901569862708","1","Diplomado en Cocina","180.00"
"2019-09-30T18:27:43","ga126391585661569865812","1","Diplomado en Organización de Eventos","404.31"
"2019-09-30T20:49:45","ga1211869431911567772601","1","Diplomado en Organización de Eventos","288.85"
"2019-09-30T20:03:07","ga127384431861569790244","1","Diplomado en Nutrición","225.39"
"2019-09-30T20:02:05","ga1210026222281569702533","1","Diplomado en Organización de Eventos","270.00"
"2019-09-30T20:09:28","ga127587189751569603186","1","Diplomado en Nutrición","144.45"
"2019-10-01T18:39:06","ga1217490529031569859880","1","Diplomado en Nutrición","202.21"
"2019-09-30T22:06:15","ga1219084912431569716970","1","Diplomado en Emprendimiento y Gestión Gastronómica","172.50"
"2019-09-30T22:18:44","ga1220187450711569340883","1","Diplomado en Nutrición","86.25"
"2019-09-30T22:38:42","ga126838416391567967633","1","Diplomado en Organización de Eventos","300.00"
"2019-09-30T23:09:54","ga122593400101569694825","1","Diplomado en Organización de Eventos","346.61"
"2019-09-30T23:03:20","ga1218711966281569882316","1","Diplomado en Emprendimiento y Gestión Gastronómica","300.00"
"2019-09-30T23:21:25","ga121948547681568684811","1","Diplomado en Cocina","120.00"
"2019-09-30T23:43:18","ga124298356101567806991","1","Diplomado en Emprendimiento y Gestión Gastronómica","281.09"
"2019-09-30T23:37:46","ga1218897514771569878061","1","Diplomado en Emprendimiento y Gestión Gastronómica","365.00"
"2019-09-30T23:54:12","ga1211088503941561574072","1","Diplomado en Repostería","245.97"
"2019-10-01T00:29:12","ga122328306481569545894","1","Diplomado en Organización de Eventos","86.25"
"2019-10-01T01:06:57","ga126916047951569678680","1","Diplomado en Nutrición","98.00"
"2019-10-01T01:52:46","ga126802548631569283398","1","Diplomado en Emprendimiento y Gestión Gastronómica","86.25"
"2019-10-01T02:21:17","ga1216519338351545232144","1","Diplomado en Organización de Eventos","150.00"
"2019-10-01T15:26:35","ga1215759516811569942240","1","Diplomado en Organización de Eventos","420.00"
"2019-10-01T17:23:35","ga126820771381569628055","1","Diplomado en Organización de Eventos","420.00"
"2019-10-01T15:52:23","ga1216074541451569760779","1","Diplomado en Emprendimiento y Gestión Gastronómica","345.13"
"2019-10-01T17:45:56","ga122180515291569949422","1","Diplomado en Organización de Eventos","287.65"
"2019-10-01T16:00:12","ga122619510611568468091","1","Diplomado en Organización de Eventos","264.46"
"2019-10-01T20:10:15","ga1214569097391569606847","1","Diplomado en Nutrición","132.23"
"2019-10-01T22:29:46","ga123312436501569944484","1","Diplomado en Repostería","201.37"
"2019-10-01T20:58:09","ga125904470881538758490","1","Diplomado en Organización de Eventos","172.61"
"2019-10-01T22:38:43","ga122239019011569966851","1","Diplomado en Emprendimiento y Gestión Gastronómica","287.65"
"2019-10-01T22:38:46","ga123464104861568405095","1","Diplomado en Repostería","157.35"
"2019-10-02T02:26:52","ga1217814645121569881628","1","Diplomado en Organización de Eventos","60.24"
"2019-10-02T17:51:22","ga1214347252441570035744","1","Diplomado en Organización de Eventos","210.00"
"2019-10-02T17:58:11","ga128446800081567814042","1","Diplomado en Cocina","300.00"
"2019-10-02T15:55:41","ga1210262753971570028900","1","Diplomado en Repostería","300.00"
"2019-10-02T15:59:02","ga1212340810791569621639","1","Diplomado en Nutrición","150.00"
"2019-10-02T16:17:22","ga1218151486961569908503","1","Diplomado en Cata de Vinos","245.17"
"2019-10-02T18:17:04","ga1214051181561570034714","1","Diplomado en Cocina","250.76"
"2019-10-02T17:09:39","ga124838454091569523249","1","Diplomado en Repostería","59.99"
"2019-10-02T19:18:05","ga122571721261570042240","1","Diplomado en Nutrición","245.17"
"2019-10-02T19:11:16","ga123943036061568428449","1","Diplomado en Nutrición","85.83"
"2019-10-02T20:18:59","ga12815135201569969110","1","Diplomado en Organización de Eventos","85.83"
"2019-10-02T20:28:07","ga129147408961567264284","1","Diplomado en Nutrición","59.99"
"2019-10-02T22:01:14","ga128416646381569934713","1","Diplomado en Emprendimiento y Gestión Gastronómica","320.43"
"2019-10-02T22:39:48","ga125842656971569711527","1","Diplomado en Organización de Eventos","143.99"
"2019-10-02T22:36:30","ga126682505921569941211","1","Diplomado en Nutrición","245.17"
"2019-10-02T22:56:59","ga126873647801569689317","1","Diplomado en Nutrición","245.17"
"2019-10-01T01:56:16","ga1220212213801568408686","1","Diplomado en Emprendimiento y Gestión Gastronómica","86.25"
"2019-10-01T02:28:22","ga1213694289711569895290","1","Diplomado en Cocina Mexicana","306.00"
"2019-10-01T02:25:26","ga1212677819741569817470","1","Diplomado en Nutrición","86.25"
"2019-10-01T14:06:05","ga1218903156181534859520","1","Diplomado en Repostería","204.80"
"2019-10-01T15:36:43","ga1212423328251569863161","1","Diplomado en Organización de Eventos","201.37"
"2019-10-01T17:27:46","ga1216519338351545232144","1","Diplomado en Repostería","150.00"
"2019-10-01T16:10:08","ga1210338528671569901202","1","Diplomado en Organización de Eventos","317.35"
"2019-10-01T16:31:41","ga1217277067191569860662","1","Diplomado en Organización de Eventos","287.65"
"2019-10-01T18:30:59","ga122940448371569951942","1","Diplomado en Organización de Eventos","279.92"
"2019-10-01T19:17:11","ga127340114481569879762","1","Diplomado en Nutrición","370.24"
"2019-10-01T20:45:26","ga128927552141569865194","1","Diplomado en Nutrición","146.37"
"2019-10-01T22:11:25","ga1214174284501569343438","1","Diplomado en Organización de Eventos","201.37"
"2019-10-02T00:47:34","ga128198910061569948022","1","Diplomado en Organización de Eventos","244.95"
"2019-10-01T23:57:54","ga127728321081567619610","1","Diplomado en Repostería","264.46"
"2019-10-02T00:46:03","ga1212193200051569960960","1","Diplomado en Organización de Eventos","143.80"
"2019-10-02T01:15:36","ga12123507671569975084","1","Diplomado en Repostería","88.23"
"2019-10-02T01:29:19","ga126796374531569977143","1","Diplomado en Cocina","88.23"
"2019-10-02T13:48:06","ga127486621661544905185","1","Diplomado en Nutrición","316.03"
"2019-10-02T17:29:18","ga122510909741570033629","1","Diplomado en Repostería","365.00"
"2019-10-02T15:47:53","ga1217050396991570024995","1","Diplomado en Emprendimiento y Gestión Gastronómica","245.17"
"2019-10-02T15:51:36","ga1211125443211569256094","1","Diplomado en Organización de Eventos","150.00"
"2019-10-02T16:03:24","ga1212614806611569553308","1","Diplomado en Repostería","112.35"
"2019-10-02T17:03:07","ga123326280111568595062","1","Diplomado en Cocina","224.29"
"2019-10-02T18:53:50","ga1212551623481570026950","1","Diplomado en Organización de Eventos","360.00"
"2019-10-02T19:02:24","ga126409828701569763672","1","Diplomado en Cocina Mexicana","255.00"
"2019-10-02T20:44:23","ga129767154671536354523","1","Diplomado en Repostería","293.63"
"2019-10-02T20:56:29","ga1214637518631570048355","1","Diplomado en Repostería","255.50"
"2019-10-02T23:03:11","ga125149049021569724069","1","Diplomado en Repostería","245.17"
"2019-10-02T23:06:33","ga1217432584991569512642","1","Diplomado en Organización de Eventos","210.00"
"2019-10-02T23:23:46","ga122102755701569789380","1","Diplomado en Organización de Eventos","80.00"
"2019-10-02T23:45:23","ga12789762001569941370","1","Diplomado en Organización de Eventos","360.00"
"2019-10-03T01:38:16","ga1212424964051569013257","1","Diplomado en Organización de Eventos","59.99"
"2019-10-03T15:56:07","ga129479506241568657056","1","Diplomado en Repostería","184.04"
"2019-10-03T16:20:25","ga1219880200031570015227","1","Diplomado en Cocina","300.00"
"2019-10-03T15:17:12","ga1215980288171570045348","1","Diplomado en Nutrición","59.89"
"2019-10-03T17:11:33","ga125964800041569621172","1","Diplomado en Repostería","290.06"
"2019-10-03T20:25:04","ga1217871073431568746196","1","Diplomado en Emprendimiento y Gestión Gastronómica","171.36"
"2019-10-03T21:22:01","ga127303225381569510333","1","Diplomado en Repostería","348.06"
"2019-10-03T21:32:35","ga125537620061570063414","1","Diplomado en Repostería","255.50"
"2019-10-03T19:37:03","ga129788218311570032746","1","Diplomado en Organización de Eventos","150.00"
"2019-10-03T22:01:34","ga127871866791568949642","1","Diplomado en Repostería","59.89"
"2019-10-03T22:14:35","ga122753223391570030590","1","Diplomado en Organización de Eventos","360.00"
"2019-10-03T22:54:46","ga122844365381570125012","1","Diplomado en Repostería","180.00"
"2019-10-03T23:33:02","ga1219412441931570143587","1","Diplomado en Emprendimiento y Gestión Gastronómica","300.00"
"2019-10-03T23:17:45","ga129537124881570050099","1","Diplomado en Organización de Eventos","290.00"
"2019-10-03T23:46:34","ga129185225401569589336","1","Diplomado en Cocina","261.05"
"2019-10-03T23:47:00","ga1214184053191565990175","1","Diplomado en Organización de Eventos","290.06"
"2019-10-04T01:15:36","ga1219447878881567725860","1","Diplomado en Organización de Eventos","145.05"
"2019-10-04T01:39:29","ga125648163711568147457","1","Diplomado en Emprendimiento y Gestión Gastronómica","345.14"
"2019-10-04T02:08:07","ga1218628515891568930331","1","Diplomado en Nutrición","85.68"
"2019-10-04T02:18:22","ga1210256488561550176497","1","Diplomado en Cocina","59.89"
"2019-10-04T16:46:29","ga1218149278381569516876","1","Diplomado en Repostería","180.00"
"2019-10-04T16:47:40","ga129219088301570204817","1","Diplomado en Repostería","255.00"
"2019-10-04T15:25:31","ga127662379221570201235","1","Diplomado en Repostería","350.55"
"2019-10-02T21:15:51","ga123356644901570029644","1","Diplomado en Organización de Eventos","201.56"
"2019-10-02T21:26:00","ga1220188006611569769514","1","Diplomado en Organización de Eventos","150.00"
"2019-10-02T22:07:45","ga121484027341568159688","1","Diplomado en Organización de Eventos","85.83"
"2019-10-02T22:23:27","ga125201107621568048367","1","Diplomado en Cocina","59.99"
"2019-10-02T23:06:46","ga125924581171569965012","1","Diplomado en Repostería","85.83"
"2019-10-02T23:34:48","ga125190701801569422019","1","Diplomado en Cocina","257.48"
"2019-10-02T23:59:04","ga128767452601570058645","1","Diplomado en Organización de Eventos","255.50"
"2019-10-03T00:54:08","ga1211860860751570062141","1","Diplomado en Repostería","101.93"
"2019-10-03T02:40:32","ga123042328601557979094","1","Diplomado en Repostería","238.75"
"2019-10-03T17:12:49","ga1210333265331570060406","1","Diplomado en Organización de Eventos","262.91"
"2019-10-03T20:45:38","ga1220138027011570034271","1","Diplomado en Repostería","59.89"
"2019-10-03T21:00:10","ga1214584785611570134609","1","Diplomado en Organización de Eventos","438.00"
"2019-10-03T22:49:37","ga1219766097931570110974","1","Diplomado en Nutrición","420.00"
"2019-10-03T23:55:25","ga1218672503641570130910","1","Diplomado en Repostería","232.05"
"2019-10-03T23:56:43","ga125957583171570113052","1","Diplomado en Nutrición","249.46"
"2019-10-04T00:49:06","ga125527851601568862931","1","Diplomado en Repostería","120.00"
"2019-10-04T01:06:38","ga123796610951570113045","1","Diplomado en Nutrición","250.50"
"2019-10-04T01:15:59","ga122864035951570118017","1","Diplomado en Repostería","369.15"
"2019-10-04T02:33:20","ga1218273640071570054125","1","Diplomado en Nutrición","157.75"
"2019-10-04T14:43:24","ga1213133450461555174906","1","Diplomado en Emprendimiento y Gestión Gastronómica","554.95"
"2019-10-04T14:51:37","ga1215538951261570197198","1","Diplomado en Repostería","173.27"
"2019-10-04T16:21:14","ga1219321855211548248238","1","Diplomado en Organización de Eventos","60.56"
"2019-10-04T16:49:36","ga1215747814621569711849","1","Diplomado en Nutrición","204.46"
"2019-10-04T22:57:46","ga125425697561569890396","1","Diplomado en Repostería","146.09"
"2019-10-04T19:22:51","ga1221011885471563572569","1","Diplomado en Organización de Eventos","255.00"
"2019-10-04T19:27:59","ga123999390531567701598","1","Diplomado en Organización de Eventos","60.56"
"2019-10-04T23:43:54","ga1212924094991570139095","1","Diplomado en Organización de Eventos","408.96"
"2019-10-04T20:50:29","ga12705501741567997124","1","Diplomado en Cocina","248.75"
"2019-10-04T20:54:02","ga1220728385441570205031","1","Diplomado en Nutrición","229.50"
"2019-10-04T21:04:43","ga1218299525651534859571","1","Diplomado en Repostería","180.00"
"2019-10-04T22:15:54","ga1217588252541570137140","1","Diplomado en Nutrición","175.25"
"2019-10-05T15:03:46","ga1214434556671570285081","1","Diplomado en Cocina","255.50"
"2019-10-05T15:52:45","ga1215449642151569940630","1","Diplomado en Organización de Eventos","146.10"
"2019-10-05T18:19:23","ga1215936236151569544933","1","Diplomado en Organización de Eventos","255.50"
"2019-10-06T14:22:58","ga1213060838951569525827","1","Diplomado en Repostería","145.94"
"2019-10-06T14:47:31","ga1221087982211562361807","1","Diplomado en Organización de Eventos","255.50"
"2019-10-05T23:09:33","ga1211673871141570299081","1","Diplomado en Cocina Mexicana","292.15"
"2019-10-05T23:38:19","ga122041008861570314672","1","Diplomado en Repostería","88.55"
"2019-10-06T18:56:33","ga12585583661570216714","1","Diplomado en Nutrición","145.94"
"2019-10-06T20:48:37","ga1217367962851570377570","1","Diplomado en Organización de Eventos","153.00"
"2019-10-06T22:16:20","ga123997367251570373036","1","Diplomado en Emprendimiento y Gestión Gastronómica","250.25"
"2019-10-04T17:18:53","ga125686971071570206597","1","Diplomado en Organización de Eventos","408.91"
"2019-10-04T18:05:12","ga1218380223301570210832","1","Diplomado en Repostería","292.13"
"2019-10-04T16:03:15","ga1215232348311570028857","1","Diplomado en Nutrición","292.13"
"2019-10-04T18:26:00","ga1213543605671570131959","1","Diplomado en Nutrición","265.83"
"2019-10-04T18:38:26","ga1214015812551570132891","1","Diplomado en Cocina Mexicana","420.00"
"2019-10-04T22:34:30","ga1214378142791569811166","1","Diplomado en Repostería","86.63"
"2019-10-04T19:27:07","ga1217568028961568661233","1","Diplomado en Organización de Eventos","86.63"
"2019-10-05T01:40:02","ga1212692794141570040980","1","Diplomado en Emprendimiento y Gestión Gastronómica","248.23"
"2019-10-05T02:35:11","ga128754812541569969098","1","Diplomado en Repostería","255.50"
"2019-10-04T20:07:07","ga125068302961569504154","1","Diplomado en Organización de Eventos","86.63"
"2019-10-04T20:18:34","ga1216215358291570030999","1","Diplomado en Organización de Eventos","365.00"
"2019-10-04T20:36:53","ga1210393327931570198029","1","Diplomado en Cocina","248.29"
"2019-10-04T20:42:17","ga1215629638021535661585","1","Diplomado en Cocina","350.55"
"2019-10-04T21:16:43","ga124521852651548161267","1","Diplomado en Organización de Eventos","106.33"
"2019-10-05T14:41:59","ga1213125161141570030470","1","Diplomado en Repostería","86.64"
"2019-10-04T22:07:18","ga1211190490811570032028","1","Diplomado en Nutrición","265.83"
"2019-10-04T22:28:54","ga129628961591569369188","1","Diplomado en Nutrición","60.56"
"2019-10-05T18:04:23","ga1219546852881566247228","1","Diplomado en Organización de Eventos","259.91"
"2019-10-05T19:48:52","ga1211634969401570240502","1","Diplomado en Nutrición","248.78"
